primaryName,birthYear,deathYear,primaryProfession,knownForTitle
Connie Stevens,1938,,"actress,director,producer",Hawaiian Eye
James Stewart,1975,,"actor,archive_footage",Packed to the Rafters
Ethan Suplee,1976,,"actor,writer,soundtrack",Remember the Titans
Loretta Swit,1937,,"actress,soundtrack,archive_footage",M*A*S*H
Kenneth Tobey,1917,2002.0,"actor,archive_footage",The Thing from Another World
David Tomlinson,1917,2000.0,"actor,soundtrack,archive_footage",Mary Poppins
Aisha Tyler,1970,,"actress,producer,director",Archer
Robert Vaughn,1877,,actor,The Fires of Youth
Milo Ventimiglia,1977,,"actor,producer,director",Heroes
Eli Wallach,1915,2014.0,"actor,producer,miscellaneous","The Good, the Bad and the Ugly"
Christoph Waltz,1956,,"actor,producer,director",Django Unchained
Jack Warden,1920,2006.0,"actor,soundtrack,archive_footage",And Justice for All
John David Washington,1984,,"actor,producer,soundtrack",Tenet
Naomi Watts,1968,,"actress,producer,soundtrack",Mulholland Drive
Robin Weigert,1969,,"actress,director,producer",Deadwood
Liza Weil,1977,,"actress,soundtrack,archive_footage",Gilmore Girls
Michael Kenneth Williams,1966,2021.0,"actor,producer,miscellaneous",The Wire
Kristen Wilson,1969,,actress,Doctor Dolittle
Victor Wong,1927,2001.0,"actor,archive_footage",Big Trouble in Little China
Keenan Wynn,1916,1986.0,"actor,stunts,soundtrack",Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
Yu Xia,1978,,"actor,director,writer",The Painted Veil
Dominic Cooper,1978,,"actor,producer,soundtrack",The Devil's Double
Mageina Tovah,1979,,"actress,director,writer",Spider-Man 2
Silas Howard,1967,,"director,producer,writer",Dickinson
Michael Fassbender,1977,,"actor,producer,executive",Shame
Stana Katic,1978,,"actress,producer,director",Castle
Aaron Taylor-Johnson,1990,,"actor,producer,writer",Kick-Ass
Mandy Moore,1976,,"miscellaneous,producer,actress",Bubble Boy
Sarah Jones,1977,,archive_footage,Survivor
Ben Schwartz,1999,,"director,editor,producer",Abducted Anonymous
Sterling K. Brown,1976,,"actor,producer,soundtrack",Black Panther
Bruce Bennett,1961,,"actor,miscellaneous",Us in the U.S.
Philip Ng,1977,,"actor,stunts,assistant_director",Birth of the Dragon
Constance Brenneman,1980,,"actress,producer,director",The Toy Soldiers
Krysten Ritter,1981,,"actress,producer,director",Jessica Jones
Shannon Chan-Kent,1988,,"actress,music_department,costume_department",Woke
William Powell,1925,1968.0,"writer,producer",All American
Randall Park,1974,,"actor,writer,director",WandaVision
Kristen Wiig,1973,,"actress,producer,writer",Bridesmaids
Garrett Hedlund,1984,,"actor,producer,soundtrack",Tron: Legacy
Bruce Bennett,1962,,"writer,producer,miscellaneous",A Forked World
David Walton,1978,,"actor,producer,executive",Bad Moms
Paul Newman,1962,,actor,Prisoner
Ian Anthony Dale,1978,,"actor,director,archive_footage",The Walking Dead
Britt Robertson,1990,,"actress,director,writer",Tomorrowland
Evangeline Lilly,1979,,"actress,soundtrack,archive_footage",The Hobbit: The Desolation of Smaug
Don Johnson,1911,2000.0,"actor,archive_footage",Shomuni
Jamie Chung,1983,,"actress,producer,archive_footage",Big Hero 6
William Powell,1941,1977.0,"actor,soundtrack,archive_footage",Lucker the Necrophagous
Brooke Adams,1969,,actress,Glory Hole
Jessica Rothe,1987,,"actress,producer,executive",Happy Death Day
Amy Adams,1979,,soundtrack,American Idol
William Forsythe,1949,,"art_department,writer,miscellaneous","One Flat Thing, Reproduced"
Alexis Smith,1986,,"actress,casting_department",Grad Night
Paul Rodriguez,1984,,"actor,producer,stunts",The Curse of La Llorona
Emory Cohen,1990,,"actor,producer,archive_footage",Brooklyn
Robin Williams,1982,,"miscellaneous,visual_effects,producer",Star Trek
Peter Marshall,1938,,archive_footage,Come Dancing
Peter Marshall,1952,,"actor,writer,miscellaneous",Doombeach
David Miller,1973,,"actor,director,writer",A Hand of Bridge
Matthew Martin,1974,,"actor,producer,assistant_director",Together
Brit Marling,1982,,"writer,producer,actress",Another Earth
Imogen Poots,1989,,"actress,producer,soundtrack",Vivarium
Gugu Mbatha-Raw,1983,,"actress,producer,soundtrack",Belle
Sterling Beaumon,1995,,"actor,producer,director",The Killing
John Heard,1978,,"editorial_department,producer,production_manager",The Whole Ten Yards
Sarah Jones,1983,,"actress,cinematographer,archive_footage",For All Mankind
Riz Ahmed,1982,,"actor,producer,writer",Sound of Metal
Brian Cox,1968,,"actor,writer,producer",Sunshine
David Miller,1982,,actor,Death Valley: The Revenge of Bloody Bill
Will Smith,1973,,actor,Wormwood
Will Smith,1981,2016.0,archive_footage,The NFL on CBS
Greta Lee,1983,,"actress,writer,producer",Past Lives
Ben Schwartz,1981,,"actor,writer,producer",Parks and Recreation
Bruce Bennett,1935,2017.0,actor,The Inspector Lynley Mysteries
Rod Taylor,1941,,"producer,director",The Other Side of the Tracks
David Miller,1974,2021.0,"producer,executive",The Child Remains
T.J. Miller,1981,,"actor,writer,producer",Silicon Valley
Brooke Adams,1984,,"actress,archive_footage",TNA iMPACT! Wrestling
Steve McQueen,1969,,"director,producer,writer",12 Years a Slave
Rafael Casal,1985,,"actor,writer,producer",Blindspotting
Patrick Gibson,1995,,actor,The OA
Kerry Bishé,1984,,"actress,soundtrack,archive_footage",Argo
Jonathan Groff,1985,,"actor,producer,soundtrack",Frozen
Oliver Jackson-Cohen,1986,,"actor,archive_footage",The Invisible Man
Adam Devine,1983,,"actor,writer,producer",Pitch Perfect
Billy Magnussen,1985,,"actor,producer,writer",Game Night
Peggy Tseng,1978,,actress,Parking
Thomas Middleditch,1982,,"actor,music_department,writer",The Final Girls
James Stewart,1971,,actor,Contingency
Josh Brener,1984,,"actor,writer,producer",Silicon Valley
Sharon Stone,1953,,"music_department,soundtrack",Parting Glances
Betty Gabriel,1981,,"actress,archive_footage",Get Out
Alexandra Shipp,1991,,"actress,producer,soundtrack",X-Men: Apocalypse
Priya Anand,1986,,actress,English Vinglish
Nina Arianda,1984,,actress,Midnight in Paris
Shannon Kook,1987,,"actor,camera_department,producer",The Conjuring
Puneet Prasad,1985,,"actor,producer,cinematographer",PUNEET!TV
Jonathan Majors,1989,,"actor,producer,soundtrack",The Harder They Fall
Sarah Jones,1986,2014.0,"camera_department,cinematographer",The Vampire Diaries
Angourie Rice,2001,,"actress,producer,soundtrack",The Nice Guys
Jamie Clayton,1978,,"actress,miscellaneous,archive_footage",Hellraiser
Martin Short,1943,2020.0,"writer,producer,miscellaneous",Inside the Brotherhood
Ali Wong,1982,,"actress,producer,writer",Ali Wong: Baby Cobra
Sonoya Mizuno,1986,,"actress,soundtrack,archive_footage",Ex Machina
Matilda Anna Ingrid Lutz,1991,,actress,Revenge
Kara Hayward,1998,,"actress,archive_footage",Moonrise Kingdom
Lorenza Izzo,1989,,"actress,soundtrack,producer",Knock Knock
Robert Vaughn,1988,,"director,writer,cinematographer",Milk
Robin Williams,1988,,"editor,cinematographer,director",Stiffs
Jennifer Lopez,1983,,"actress,producer",Dirty Sexy Saint
Victor Wong,1972,,"actor,soundtrack",Ice Kacang Puppy Love
Simu Liu,1989,,"actor,producer,writer",Shang-Chi and the Legend of the Ten Rings
Pierson Fode,1991,,actor,The Man from Toronto
Jaylen Barron,1997,,actress,Good Luck Charlie
Jasmine Cephas Jones,1989,,"actress,producer,soundtrack",Blindspotting
Awkwafina,1988,,"actress,writer,producer",Ocean's Eight
Frankie J. Alvarez,1983,,"actor,writer,soundtrack",Looking
Ed Harris,1944,2012.0,actor,I'm in Love with a Church Girl
David Warner,1986,,archive_footage,The Test: A New Era for Australia's Team
Jharrel Jerome,1997,,"actor,producer,music_department",Moonlight
Jimmie Fails,1994,,"actor,writer",The Last Black Man in San Francisco
