nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles,KnowForTitleNames
nm0000701,Kate Winslet,1975,\N,"Actress,  Producer,  Writer","tt0338013,tt0120338,tt0959337,tt0976051","Eternal Sunshine of the Spotless Mind, Titanic, Revolutionary Road, The Reader"
nm0000705,Robin Wright,1966,\N,"Actress,  Producer,  Director","tt0442933,tt0109830,tt0217869,tt0093779","Beowulf, Forrest Gump, Unbreakable, The Princess Bride"
nm0000724,Brooke Adams,1949,\N,"Actress,  Producer,  Writer","tt0077745,tt0085407,tt0077405,tt0103157","Invasion of the Body Snatchers, The Dead Zone, Days of Heaven, The Unborn"
nm0000747,Don Ameche,1908,1993,"Actor,  Director,  Soundtrack","tt0088933,tt0086465,tt0035979,tt0107131","Cocoon, Trading Places, Heaven Can Wait, Homeward Bound: The Incredible Journey"
nm0000775,Christina Applegate,1971,\N,"Actress,  Producer,  Soundtrack","tt0101757,tt0092400,tt4651520,tt0253867","Don't Tell Mom the Babysitter's Dead, Married... with Children, Bad Moms, The Sweetest Thing"
nm0000802,Mary Astor,1906,1987,"Actress,  Soundtrack,  Archive Footage","tt0033870,tt0033677,tt0037059,tt0034428","The Maltese Falcon, The Great Lie, Meet Me in St. Louis, Across the Pacific"
nm0000836,Scott Bakula,1954,\N,"Actor,  Producer,  Director","tt0096684,tt0169547,tt1291580,tt1130080","Quantum Leap, American Beauty, Behind the Candelabra, The Informant!"
nm0000843,Anne Bancroft,1931,2005,"Actress,  Director,  Writer","tt0061722,tt0056241,tt0076843,tt0119223","The Graduate, The Miracle Worker, The Turning Point, Great Expectations"
nm0000865,Richard Basehart,1914,1984,"Actor,  Director,  Miscellaneous","tt0049513,tt0043560,tt0057798,tt0043459","Moby Dick, Fourteen Hours, Voyage to the Bottom of the Sea, Decision Before Dawn"
nm0000879,Anne Baxter,1923,1985,"Actress,  Soundtrack,  Archive Footage","tt0042192,tt0049833,tt0035015,tt0038873","All About Eve, The Ten Commandments, The Magnificent Ambersons, The Razor's Edge"
nm0000895,Barbara Bel Geddes,1922,2005,"Actress,  Soundtrack,  Archive Footage","tt0052357,tt0077000,tt0042832,tt0040221","Vertigo, Dallas, Panic in the Streets, Caught"
nm0000947,Karen Black,1939,2013,"Actress,  Writer,  Composer","tt0065724,tt0071577,tt0251736,tt0073440","Five Easy Pieces, The Great Gatsby, House of 1000 Corpses, Nashville"
nm0000949,Cate Blanchett,1969,\N,"Actress,  Producer,  Writer","tt2402927,tt2334873,tt0120737,tt14444726","Carol, Blue Jasmine, The Lord of the Rings: The Fellowship of the Ring, Tár"
nm0000983,Albert Brooks,1947,\N,"Actor,  Writer,  Music Department","tt0780504,tt0092699,tt0101698,tt0089504","Drive, Broadcast News, Defending Your Life, Lost in America"
nm0000989,Yul Brynner,1920,1985,"Actor,  Director,  Producer","tt0049408,tt0049833,tt0054047,tt0070909","The King and I, The Ten Commandments, The Magnificent Seven, Westworld"
nm0000993,Carol Burnett,1933,\N,"Actress,  Producer,  Writer","tt0061240,tt0083564,tt0105017,tt0082405","The Carol Burnett Show, Annie, Noises Off..., The Four Seasons"
nm0000995,Ellen Burstyn,1932,\N,"Actress,  Producer,  Director","tt0180093,tt0071115,tt0070047,tt0067328","Requiem for a Dream, Alice Doesn't Live Here Anymore, The Exorcist, The Last Picture Show"
nm0001001,James Caan,1940,2022,"Actor,  Director,  Stunts","tt0083190,tt0073631,tt0100157,tt0068646","Thief, Rollerball, Misery, The Godfather"
nm0001030,John Cazale,1935,1978,"Actor,  Cinematographer,  Editor","tt0072890,tt0071360,tt0068646,tt0077416","Dog Day Afternoon, The Conversation, The Godfather, The Deer Hunter"
nm0001040,Joan Chen,1961,\N,"Actress,  Director,  Producer","tt0113492,tt0452631,tt0808357,tt0110725","Judge Dredd, The Home Song Stories, Lust, Caution, On Deadly Ground"
nm0001041,Maggie Cheung,1964,\N,"Actress,  Soundtrack,  Archive Footage","tt0118694,tt0299977,tt0101258,tt0117905","In the Mood for Love, Hero, Days of Being Wild, Comrades: Almost a Love Story"
nm0001046,Julie Christie,1940,\N,"Actress,  Miscellaneous,  Soundtrack","tt0069995,tt0059113,tt0060390,tt0491747","Don't Look Now, Doctor Zhivago, Fahrenheit 451, Away from Her"
nm0001069,Bud Cort,1948,\N,"Actor,  Director,  Writer","tt0067185,tt0362270,tt0066026,tt0200550","Harold and Maude, The Life Aquatic with Steve Zissou, M*A*S*H, Coyote Ugly"
nm0001075,Peter Coyote,1941,\N,"Actor,  Producer,  Writer","tt0104779,tt0281358,tt0129290,tt0120184","Bitter Moon, A Walk to Remember, Patch Adams, Sphere"
nm0001076,Joan Crawford,1906,1977,"Actress,  Writer,  Producer","tt0056687,tt0037913,tt0042376,tt0046446","What Ever Happened to Baby Jane?, Mildred Pierce, The Damned Don't Cry, Torch Song"
nm0001101,Ted Danson,1947,\N,"Actor,  Producer,  Writer","tt0083399,tt4955642,tt0082089,tt0098966","Cheers, The Good Place, Body Heat, Three Men and a Little Lady"
nm0001115,Ossie Davis,1917,2005,"Actor,  Writer,  Director","tt0097216,tt0281686,tt0107050,tt0109446","Do the Right Thing, Bubba Ho-Tep, Grumpy Old Men, The Client"
nm0001136,Bruce Dern,1936,\N,"Actor,  Producer,  Soundtrack","tt1821549,tt3460252,tt0096734,tt0071577","Nebraska, The Hateful Eight, The 'Burbs, The Great Gatsby"
nm0001141,Angie Dickinson,1931,\N,"Actress,  Soundtrack,  Archive Footage","tt0080661,tt0053221,tt0114319,tt0062138","Dressed to Kill, Rio Bravo, Sabrina, Point Blank"
nm0001148,Troy Donahue,1936,2001,"Actor,  Soundtrack,  Archive Footage","tt0053320,tt0051948,tt0099329,tt0071562","A Summer Place, Monster on the Campus, Cry-Baby, The Godfather Part II"
nm0001169,George Dzundza,1945,\N,"Actor,  Assistant Director,  Soundtrack","tt0112740,tt0103772,tt0077416,tt0112792","Crimson Tide, Basic Instinct, The Deer Hunter, Dangerous Minds"
nm0001173,Aaron Eckhart,1968,\N,"Actor,  Producer,  Soundtrack","tt0468569,tt0427944,tt0935075,tt0119361","The Dark Knight, Thank You for Smoking, Rabbit Hole, In the Company of Men"
nm0001174,Barbara Eden,\N,\N,"Actress,  Producer,  Miscellaneous","tt0058815,tt0077660,tt0055608,tt0115341","I Dream of Jeannie, Harper Valley P.T.A., Voyage to the Bottom of the Sea, Sabrina the Teenage Witch"
nm0001184,Jenna Elfman,1971,\N,"Actress,  Producer,  Archive Footage","tt0118303,tt0171433,tt1632708,tt0131369","Dharma & Greg, Keeping the Faith, Friends with Benefits, Edtv"
nm0001191,Adam Sandler,1966,\N,"Actor,  Producer,  Writer","tt0120484,tt0185431,tt0120888,tt0142342","The Waterboy, Little Nicky, The Wedding Singer, Big Daddy"
nm0001213,Harvey Fierstein,1954,\N,"Actor,  Writer,  Soundtrack","tt0107614,tt0116629,tt0109348,tt0120762","Mrs. Doubtfire, Independence Day, Bullets Over Broadway, Mulan"
nm0001215,Albert Finney,1936,2019,"Actor,  Producer,  Director","tt0071877,tt0195685,tt0319061,tt0066344","Murder on the Orient Express, Erin Brockovich, Big Fish, Scrooge"
nm0001224,Errol Flynn,1909,1959,"Actor,  Writer,  Producer","tt0029843,tt0040076,tt0026174,tt0041955","The Adventures of Robin Hood, Adventures of Don Juan, Captain Blood, That Forsyte Woman"
nm0001229,Glenn Ford,1916,2006,"Actor,  Producer,  Soundtrack","tt0038559,tt0078346,tt0055312,tt0045555","Gilda, Superman, Pocketful of Miracles, The Big Heat"
nm0001235,William Forsythe,1955,\N,"Actor,  Producer,  Writer","tt0093822,tt0395584,tt0099422,tt0114660","Raising Arizona, The Devil's Rejects, Dick Tracy, Things to Do in Denver When You're Dead"
nm0001260,John Gavin,1931,2018,"Actor,  Soundtrack,  Archive Footage","tt0054215,tt0054331,tt0052296,tt0062362","Psycho, Spartacus, A Time to Love and a Time to Die, Thoroughly Modern Millie"
nm0001277,Scott Glenn,1939,\N,"Actor,  Producer,  Stunts","tt0099810,tt1194173,tt0102926,tt0101393","The Hunt for Red October, The Bourne Legacy, The Silence of the Lambs, Backdraft"
nm0001301,Charles Grodin,1935,2021,"Actor,  Writer,  Director","tt0095631,tt0068687,tt0074751,tt0081480","Midnight Run, The Heartbreak Kid, King Kong, Seems Like Old Times"
nm0001315,Marcia Gay Harden,1959,\N,"Actress,  Producer,  Archive Footage","tt0327056,tt0884328,tt0183659,tt0758758","Mystic River, The Mist, Pollock, Into the Wild"
nm0001319,Mark Harmon,1951,\N,"Actor,  Producer,  Director","tt0364845,tt0360139,tt0322330,tt0094072","NCIS, Chasing Liberty, Freaky Friday, Summer School"
nm0001322,Rex Harrison,1908,1990,"Actor,  Producer,  Soundtrack","tt0058385,tt0056937,tt0061584,tt0039420","My Fair Lady, Cleopatra, Doctor Dolittle, The Ghost and Mrs. Muir"
nm0001326,Josh Hartnett,1978,\N,"Actor,  Producer,  Archive Footage","tt0425210,tt0389722,tt0133751,tt0265086","Lucky Number Slevin, 30 Days of Night, The Faculty, Black Hawk Down"
nm0001334,John Heard,1946,2017,"Actor,  Producer,  Soundtrack","tt0094737,tt0406816,tt0099077,tt0099785","Big, The Guardian, Awakenings, Home Alone"
nm0001335,Tippi Hedren,1930,\N,"Actress,  Producer,  Archive Footage","tt0056869,tt0058329,tt0083001,tt0356721","The Birds, Marnie, Roar, I Heart Huckabees"
nm0001358,Hal Holbrook,1925,2021,"Actor,  Director,  Writer","tt0758758,tt0443272,tt0074119,tt0083767","Into the Wild, Lincoln, All the President's Men, Creepshow"
nm0001388,Amy Irving,1953,\N,"Actress,  Producer,  Music Department","tt0181865,tt0074285,tt1185836,tt0094921","Traffic, Carrie, Adam, Crossing Delancey"
nm0001395,Richard Jaeckel,1926,1997,"Actor,  Soundtrack,  Archive Footage","tt0088172,tt0061578,tt0083530,tt0070518","Starman, The Dirty Dozen, Airplane II: The Sequel, Pat Garrett & Billy the Kid"
nm0001404,Madeline Kahn,1942,1999,"Actress,  Soundtrack,  Archive Footage","tt0070510,tt0069495,tt0072431,tt0088930","Paper Moon, What's Up, Doc?, Young Frankenstein, Clue"
nm0001427,Greg Kinnear,1963,\N,"Actor,  Producer,  Writer","tt0119822,tt0449059,tt0114319,tt0128853","As Good as It Gets, Little Miss Sunshine, Sabrina, You've Got Mail"
nm0001458,Cloris Leachman,1926,2021,"Actress,  Soundtrack,  Archive Footage","tt0067328,tt0072431,tt0371246,tt0481499","The Last Picture Show, Young Frankenstein, Spanglish, The Croods"
nm0001472,Jet Li,1963,\N,"Actor,  Producer,  Miscellaneous","tt0267804,tt0446059,tt0913968,tt0271027","The One, Fearless, The Warlords, Kiss of the Dragon"
nm0001473,Laura Linney,1964,\N,"Actress,  Producer,  Miscellaneous","tt1515193,tt0775529,tt0362269,tt0203230","The Big C, The Savages, Kinsey, You Can Count on Me"
nm0001485,Myrna Loy,1905,1993,"Actress,  Soundtrack,  Archive Footage","tt0025878,tt0036868,tt0040613,tt0027260","The Thin Man, The Best Years of Our Lives, Mr. Blandings Builds His Dream House, After the Thin Man"
nm0001507,Cheech Marin,1946,\N,"Actor,  Writer,  Producer","tt0092690,tt0117918,tt0078446,tt0116367","Born in East L.A., Tin Cup, Up in Smoke, From Dusk Till Dawn"
nm0001511,Lee Marvin,1924,1987,"Actor,  Miscellaneous,  Soundtrack","tt0064782,tt0061578,tt0059017,tt0060862","Paint Your Wagon, The Dirty Dozen, Cat Ballou, The Professionals"
nm0001512,Mary Elizabeth Mastrantonio,1958,\N,"Actress,  Soundtrack,  Archive Footage","tt0096754,tt0102798,tt0177971,tt0086250","The Abyss, Robin Hood: Prince of Thieves, The Perfect Storm, Scarface"
nm0001526,Patrick McGoohan,1928,2009,"Actor,  Producer,  Director","tt0061287,tt0112573,tt0117913,tt0079116","The Prisoner, Braveheart, A Time to Kill, Escape from Alcatraz"
nm0001543,Gretchen Mol,1972,\N,"Actress,  Soundtrack","tt0139809,tt0381849,tt0979432,tt4034228","The Thirteenth Floor, 3:10 to Yuma, Boardwalk Empire, Manchester by the Sea"
nm0001571,Kim Novak,1933,\N,"Actress,  Costume Department,  Soundtrack","tt0052357,tt0051406,tt0048491,tt0058265","Vertigo, Bell Book and Candle, Picnic, Kiss Me, Stupid"
nm0001588,Jack Palance,1919,2006,"Actor,  Director,  Assistant Director","tt0101587,tt0046303,tt0057345,tt0098439","City Slickers, Shane, Contempt, Tango & Cash"
nm0001590,Chazz Palminteri,1952,\N,"Actor,  Writer,  Producer","tt0114814,tt0106489,tt0109348,tt0473488","The Usual Suspects, A Bronx Tale, Bullets Over Broadway, A Guide to Recognizing Your Saints"
nm0001597,Mandy Patinkin,1952,\N,"Actor,  Producer,  Soundtrack","tt1796960,tt0093779,tt0094631,tt0099422","Homeland, The Princess Bride, Alien Nation, Dick Tracy"
nm0001609,Rosie Perez,1964,\N,"Actress,  Miscellaneous,  Director","tt0105812,tt0106881,tt0108451,tt0102536","White Men Can't Jump, Fearless, Untamed Heart, Night on Earth"
nm0001618,Joaquin Phoenix,1974,\N,"Actor,  Producer,  Director","tt0358273,tt0172495,tt1798709,tt1560747","Walk the Line, Gladiator, Her, The Master"
nm0001627,Sidney Poitier,1927,2022,"Actor,  Director,  Producer","tt0061811,tt0057251,tt0061735,tt0051525","In the Heat of the Night, Lilies of the Field, Guess Who's Coming to Dinner, The Defiant Ones"
nm0001635,William Powell,1892,1984,"Actor,  Soundtrack,  Archive Footage","tt0025878,tt0028010,tt0039566,tt0019745","The Thin Man, My Man Godfrey, Life with Father, The Canary Murder Case"
nm0001659,Christopher Reeve,1952,2004,"Actor,  Producer,  Miscellaneous","tt0078346,tt0081534,tt0086393,tt0094074","Superman, Somewhere in Time, Superman III, Superman IV: The Quest for Peace"
nm0001665,Lee Remick,1935,1991,"Actress,  Soundtrack,  Archive Footage","tt0052561,tt0075005,tt0055895,tt0057681","Anatomy of a Murder, The Omen, Days of Wine and Roses, The Wheeler Dealers"
nm0001666,Debbie Reynolds,1932,2016,"Actress,  Producer,  Writer","tt0045152,tt0058708,tt0119360,tt0051051","Singin' in the Rain, The Unsinkable Molly Brown, In & Out, Tammy and the Bachelor"
nm0001670,Natasha Richardson,1963,2009,"Actress,  Producer,  Soundtrack","tt0348505,tt0120783,tt0099731,tt0252076","Asylum, The Parent Trap, The Handmaid's Tale, Maid in Manhattan"
nm0001684,Katharine Ross,1940,\N,"Actress,  Writer,  Soundtrack","tt0061722,tt0064115,tt0246578,tt0073747","The Graduate, Butch Cassidy and the Sundance Kid, Donnie Darko, The Stepford Wives"
nm0001695,George Sanders,1906,1972,"Actor,  Writer,  Soundtrack","tt0042192,tt0032976,tt0037988,tt0033873","All About Eve, Rebecca, The Picture of Dorian Gray, Man Hunt"
nm0001715,George C. Scott,1927,1999,"Actor,  Director,  Producer","tt0066206,tt0054997,tt0080516,tt0099528","Patton, The Hustler, The Changeling, The Exorcist III"
nm0001718,Kyra Sedgwick,1965,\N,"Actress,  Producer,  Director","tt0458253,tt0117333,tt0361127,tt0114496","The Closer, Phenomenon, The Woodsman, Something to Talk About"
nm0001731,Sam Shepard,1943,2017,"Actor,  Writer,  Director","tt1322269,tt0265086,tt1935179,tt0086197","August: Osage County, Black Hawk Down, Mud, The Right Stuff"
nm0001737,Martin Short,1950,\N,"Actor,  Writer,  Producer","tt0093260,tt0452681,tt1791528,tt0092086","Innerspace, The Santa Clause 3: The Escape Clause, Inherent Vice, Three Amigos!"
nm0001746,Ione Skye,1970,\N,"Actress,  Writer,  Director","tt0098258,tt0113101,tt0091860,tt0332047","Say Anything, Four Rooms, River's Edge, Fever Pitch"
nm0001749,Maggie Smith,1934,2024,"Actress,  Soundtrack,  Archive Footage","tt0280707,tt0091867,tt3722070,tt1412386","Gosford Park, A Room with a View, The Lady in the Van, The Best Exotic Marigold Hotel"
nm0001786,George Takei,1937,\N,"Actor,  Miscellaneous,  Writer","tt0060028,tt0102975,tt0088170,tt0084726","Star Trek, Star Trek VI: The Undiscovered Country, Star Trek III: The Search for Spock, Star Trek II: The Wrath of Khan"
nm0001792,Rod Taylor,1930,2015,"Actor,  Music Department,  Writer","tt0361748,tt0056869,tt0054387,tt0055254","Inglourious Basterds, The Birds, The Time Machine, One Hundred and One Dalmatians"
nm0001802,Nancy Travis,1961,\N,"Actress,  Producer,  Soundtrack","tt0108174,tt0108473,tt0098966,tt0109936","So I Married an Axe Murderer, The Vanishing, Three Men and a Little Lady, Greedy"
nm0001816,Robert Vaughn,1932,2016,"Actor,  Director,  Archive Footage","tt0062765,tt0054047,tt0072308,tt0086393","Bullitt, The Magnificent Seven, The Towering Inferno, Superman III"
nm0001831,David Warner,1941,2022,"Actor,  Producer,  Soundtrack","tt0102975,tt0120338,tt0084827,tt0113409","Star Trek VI: The Undiscovered Country, Titanic, Tron, In the Mouth of Madness"
nm0001839,Tuesday Weld,1943,\N,"Actress,  Soundtrack,  Archive Footage","tt0083190,tt0087843,tt0106856,tt0069098","Thief, Once Upon a Time in America, Falling Down, Play It As It Lays"
nm0001860,Alicia Witt,1975,\N,"Actress,  Music Department,  Producer","tt0087182,tt0411061,tt0146336,tt0408985","Dune, 88 Minutes, Urban Legend, Last Holiday"
nm0001967,Peter Boyle,1935,2006,"Actor,  Soundtrack,  Archive Footage","tt0115167,tt0095963,tt0072431,tt0075314","Everybody Loves Raymond, Red Heat, Young Frankenstein, Taxi Driver"
nm0002029,Maria Grazia Cucinotta,1968,\N,"Actress,  Producer,  Director","tt0143145,tt0110877,tt1161864,tt0118782","The World Is Not Enough, The Postman, The Rite, A Brooklyn State of Mind"
nm0002033,Tyne Daly,1946,\N,"Actress,  Writer,  Soundtrack","tt0209069,tt2250912,tt0083395,tt0074483","Judging Amy, Spider-Man: Homecoming, Cagney & Lacey, The Enforcer"
nm0002050,Irene Dunne,1898,1990,"Actress,  Soundtrack,  Archive Footage","tt0028597,tt0031593,tt0040458,tt0029284","The Awful Truth, Love Affair, I Remember Mama, My Favorite Wife"
nm0002106,Ruth Gordon,1896,1985,"Actress,  Writer,  Soundtrack","tt0063522,tt0077523,tt0067185,tt0059314","Rosemary's Baby, Every Which Way But Loose, Harold and Maude, Inside Daisy Clover"
nm0002108,Gloria Grahame,1923,1981,"Actress,  Soundtrack,  Archive Footage","tt0042593,tt0045555,tt0038650,tt0044391","In a Lonely Place, The Big Heat, It's a Wonderful Life, The Bad and the Beautiful"
nm0002769,Romy Schneider,1938,1982,"Actress,  Soundtrack,  Archive Footage","tt0073155,tt0081182,tt0048624,tt0047259","That Most Important Thing: Love, Death Watch, Sissi, The Story of Vickie"
nm0004051,Brian Cox,1946,\N,"Actor,  Producer,  Director","tt7660850,tt0290334,tt0332452,tt0268126","Succession, X2: X-Men United, Troy, Adaptation."
nm0004286,Clifton Collins Jr.,1970,\N,"Actor,  Producer,  Director","tt0796366,tt0379725,tt0181865,tt0765010","Star Trek, Capote, Traffic, Brothers"
nm0004691,Aaliyah,1979,2001,"Music Artist,  Actress,  Composer","tt0165929,tt0238546,tt0118998,tt0118617","Romeo Must Die, Queen of the Damned, Doctor Dolittle, Anastasia"
nm0004697,Erika Alexander,1969,\N,"Actress,  Producer,  Director","tt5052448,tt0106056,tt10310096,tt0453467","Get Out, Living Single, John Lewis: Good Trouble, Deja Vu"
nm0004710,Naveen Andrews,1969,\N,"Actor,  Archive Footage","tt0116209,tt1077258,tt0411008,tt1758595","The English Patient, Planet Terror, Lost, Diana"
nm0004787,Saffron Burrows,1972,\N,"Actress,  Director,  Producer","tt7335184,tt3502172,tt0200465,tt0332452","You, Mozart in the Jungle, The Bank Job, Troy"
nm0004857,Tim Daly,1956,\N,"Actor,  Producer,  Director","tt0247097,tt0264395,tt0098948,tt2027128","The Fugitive, Basic, Wings, Justice League: Doom"
nm0004875,Taye Diggs,1971,\N,"Actor,  Producer,  Executive","tt0299658,tt0185371,tt0294870,tt0238380","Chicago, House on Haunted Hill, Rent, Equilibrium"
nm0004950,Jennifer Garner,1972,\N,"Actress,  Producer,  Director","tt0285333,tt0337563,tt0287978,tt0467406","Alias, 13 Going on 30, Daredevil, Juno"
nm0004978,Adrian Grenier,1976,\N,"Actor,  Producer,  Director","tt0458352,tt0387199,tt1674771,tt0212720","The Devil Wears Prada, Entourage, Entourage, A.I. Artificial Intelligence"
nm0004989,Alyson Hannigan,1974,\N,"Actress,  Producer,  Soundtrack","tt0118276,tt0163651,tt0460649,tt1605630","Buffy the Vampire Slayer, American Pie, How I Met Your Mother, American Reunion"
nm0005158,Sabrina Lloyd,1970,\N,"Actress,  Writer,  Archive Footage","tt0165961,tt0433309,tt1258201,tt0112167","Sports Night, Numb3rs, Hello Lonesome, Sliders"
nm0005182,Leslie Mann,1972,\N,"Actress,  Archive Footage","tt0478311,tt2203939,tt1758830,tt0119190","Knocked Up, The Other Woman, This Is 40, George of the Jungle"
nm0005188,James Marsden,1973,\N,"Actor,  Soundtrack,  Archive Footage","tt0120903,tt0427327,tt0461770,tt0988595","X-Men, Hairspray, Enchanted, 27 Dresses"
nm0005221,Christopher Meloni,1961,\N,"Actor,  Producer,  Director","tt0770828,tt0366551,tt0243655,tt2334871","Man of Steel, Harold & Kumar Go to White Castle, Wet Hot American Summer, Snatched"
nm0005346,Tara Reid,1975,\N,"Actress,  Producer,  Director","tt0163651,tt0118715,tt0369226,tt0283111","American Pie, The Big Lebowski, Alone in the Dark, Van Wilder"
nm0005370,Kathleen Robertson,\N,\N,"Actress,  Writer,  Producer","tt11343686,tt8462412,tt2402061,tt1833285","Swimming with Sharks, Northern Rescue, Murder in the First, Boss"
nm0005392,Keri Russell,1976,\N,"Actress,  Producer,  Soundtrack","tt0317919,tt0134247,tt0473308,tt2103281","Mission: Impossible III, Felicity, Waitress, Dawn of the Planet of the Apes"
nm0005460,Mary Steenburgen,1953,\N,"Actress,  Producer,  Music Department","tt1204975,tt0838283,tt0099088,tt0080025","Last Vegas, Step Brothers, Back to the Future Part III, Time After Time"
nm0005476,Hilary Swank,1974,\N,"Actress,  Producer,  Soundtrack","tt0405159,tt0171804,tt0431308,tt2398231","Million Dollar Baby, Boys Don't Cry, P.S. I Love You, The Homesman"
nm0005491,Maura Tierney,1965,\N,"Actress,  Producer,  Soundtrack","tt0108757,tt0119528,tt1226837,tt0278504","ER, Liar Liar, Beautiful Boy, Insomnia"
nm0005499,Lily Tomlin,1939,\N,"Actress,  Producer,  Writer","tt0073440,tt4270516,tt0080319,tt0086873","Nashville, Grandma, 9 to 5, All of Me"
nm0005562,Owen Wilson,1968,\N,"Actor,  Producer,  Writer","tt0265666,tt0115734,tt0396269,tt0335438","The Royal Tenenbaums, Bottle Rocket, Wedding Crashers, Starsky & Hutch"
nm0007217,Jack Carson,1910,1963,"Actor,  Soundtrack,  Archive Footage","tt0051459,tt0037913,tt0040745,tt0036613","Cat on a Hot Tin Roof, Mildred Pierce, Romance on the High Seas, Arsenic and Old Lace"
nm0010734,Amy Adams,\N,\N,Actress,"tt0099463,tt0098397,tt0098228","Dream Trap, Witch Story, Roxanne: The Prize Pulitzer"
nm0012204,Luther Adler,1903,1984,"Actor,  Soundtrack,  Archive Footage","tt0040552,tt0042369,tt0043461,tt0042005","The Loves of Carmen, D.O.A., The Desert Fox: The Story of Rommel, Under My Skin"
nm0051509,Eric Bana,1968,\N,"Actor,  Writer,  Producer","tt7945720,tt0408306,tt0332452,tt0221073","Dirty John, Munich, Troy, Chopper"
nm0058864,Murray Bartlett,1971,\N,"Actor,  Producer,  Soundtrack","tt3581920,tt13406094,tt2287945,tt1753460","The Last of Us, The White Lotus, Noor, August"
nm0071636,Bruce Bennett,1906,2007,"Actor,  Writer,  Archive Footage","tt0037913,tt0040897,tt0036323,tt0039302","Mildred Pierce, The Treasure of the Sierra Madre, Sahara, Dark Passage"
nm0077607,Ken Berry,1933,2018,"Actor,  Miscellaneous,  Soundtrack","tt0077305,tt0085050,tt0285073,tt0071607","The Cat from Outer Space, Mama's Family, Eunice, Herbie Rides Again"
nm0098378,Kate Bosworth,1983,\N,"Actress,  Producer,  Archive Footage","tt0348150,tt0478087,tt0300532,tt0335559","Superman Returns, 21, Blue Crush, Win a Date with Tad Hamilton!"
nm0100866,Julie Bowen,1970,\N,"Actress,  Producer,  Director","tt0116483,tt1442437,tt0247091,tt1499658","Happy Gilmore, Modern Family, Ed, Horrible Bosses"
nm0106021,,\N,\N,Actor,tt21610866,Kala Fasana
nm0110219,Pamela Britton,1923,1974,"Actress,  Soundtrack,  Archive Footage","tt0042369,tt0037514,tt0056775,tt0043120","D.O.A., Anchors Aweigh, My Favorite Martian, Watch the Birdie"
nm0126284,Rose Byrne,1979,\N,"Actress,  Producer,  Soundtrack","tt3079380,tt1591095,tt1478338,tt2004420","Spy, Insidious, Bridesmaids, Neighbors"
nm0136797,Steve Carell,1962,\N,"Actor,  Producer,  Writer","tt0386676,tt0405422,tt1100089,tt1596363","The Office, The 40-Year-Old Virgin, Foxcatcher, The Big Short"
nm0151419,Kyle Chandler,1965,\N,"Actor,  Producer,  Director","tt1024648,tt1650062,tt4034228,tt0758745","Argo, Super 8, Manchester by the Sea, Friday Night Lights"
nm0156801,Kim Chew,1921,2007,Actress,"tt0107282,tt0087150","The Joy Luck Club, Dim Sum: A Little Bit of Heart"
nm0156803,Laureen Chew,\N,\N,Actress,"tt0087150,tt0083728,tt0349352","Dim Sum: A Little Bit of Heart, Chan Is Missing, Dim Sum Take Out"
nm0157796,Tsai Chin,1933,\N,"Actress,  Music Department,  Soundtrack","tt0397535,tt9376612,tt0062512,tt0381061","Memoirs of a Geisha, Shang-Chi and the Legend of the Ten Rings, You Only Live Twice, Casino Royale"
nm0157905,Kieu Chinh,1937,\N,"Actress,  Miscellaneous,  Producer","tt0107282,tt0093137,tt0478087,tt0120632","The Joy Luck Club, Hamburger Hill, 21, City of Angels"
nm0160004,Claudia Christian,\N,\N,"Actress,  Director,  Producer","tt0105946,tt0230011,tt0297162,tt0107107","Babylon 5, Atlantis: The Lost Empire, Half Past Dead, Hexed"
nm0164809,Jason Clarke,1969,\N,"Actor,  Producer,  Archive Footage","tt1790885,tt2396589,tt1340138,tt2719848","Zero Dark Thirty, Mudbound, Terminator Genisys, Everest"
nm0165101,Patricia Clarkson,1959,\N,"Actress,  Producer,  Soundtrack","tt0340377,tt0297884,tt0120689,tt1130884","The Station Agent, Far from Heaven, The Green Mile, Shutter Island"
nm0167991,Chris Coburn,\N,\N,Actor,"tt0267784,tt0208866,tt0118086,tt0402104","No Deposit, No Return, Mission, Virginity, Clarissa"
nm0181305,Valentina Cortese,1923,2019,"Actress,  Camera Department,  Miscellaneous","tt0070460,tt0096764,tt0046754,tt0047821","Day for Night, The Adventures of Baron Munchausen, The Barefoot Contessa, Le Amiche"
nm0186505,Bryan Cranston,1956,\N,"Actor,  Producer,  Writer","tt0903747,tt0212671,tt1024648,tt3203606","Breaking Bad, Malcolm in the Middle, Argo, Trumbo"
nm0193321,Donald Curtis,1915,1997,"Actor,  Archive Footage","tt0038109,tt0047811,tt0049833,tt0049169","Spellbound, All That Heaven Allows, The Ten Commandments, Earth vs. the Flying Saucers"
nm0202603,Jack Davenport,1973,\N,"Actor,  Producer,  Soundtrack","tt0383574,tt0325980,tt0134119,tt0449088","Pirates of the Caribbean: Dead Man's Chest, Pirates of the Caribbean: The Curse of the Black Pearl, The Talented Mr. Ripley, Pirates of the Caribbean: At World's End"
nm0206257,Rosario Dawson,1979,\N,"Actress,  Producer,  Director","tt0294870,tt4116284,tt0401792,tt0477080","Rent, The Lego Batman Movie, Sin City, Unstoppable"
nm0227710,Joe Dinicol,\N,\N,"Actor,  Casting Department,  Producer","tt0446029,tt0848557,tt1673423,tt0159097","Scott Pilgrim vs. the World, Diary of the Dead, My Babysitter's a Vampire, The Virgin Suicides"
